K,lawfulness,net,benefit,cost
0.01,0.97,-0.013306550270000002,0.00232141273,0.015627963
0.01,0.98,-0.01256154718,0.0023453448200000003,0.014906892000000001
0.01,0.99,-0.011816544090000002,0.00236927691,0.014185821000000001
0.01,1.0,-0.011071541,0.002393209,0.013464750000000001
0.02,0.0,-0.08469890000000001,0.0,0.08469890000000001
0.02,0.01,-0.08395884289,2.7163109999999998e-05,0.083986006
0.02,0.02,-0.08321878578,5.4326219999999996e-05,0.083273112
0.02,0.03,-0.08247872867,8.148932999999999e-05,0.082560218
0.02,0.04,-0.08173867156,0.00010865243999999999,0.081847324
0.02,0.05,-0.08099861444999998,0.00013581555,0.08113442999999998
0.02,0.06,-0.08025855734000001,0.00016297865999999998,0.080421536
0.02,0.07,-0.07951850023,0.00019014177,0.079708642
0.02,0.08,-0.07877844312,0.00021730487999999999,0.078995748
0.02,0.09,-0.07803838601000002,0.00024446798999999995,0.07828285400000001
0.02,0.1,-0.07729832889999999,0.0002716311,0.07756996
0.02,0.11,-0.07655827179000001,0.00029879421,0.076857066
0.02,0.12,-0.07581821468,0.00032595731999999995,0.076144172
0.02,0.13,-0.07507815757,0.00035312042999999997,0.075431278
0.02,0.14,-0.07433810046,0.00038028354,0.074718384
0.02,0.15,-0.07359804335,0.0004074466499999999,0.07400549000000001
0.02,0.16,-0.07285798623999999,0.00043460975999999997,0.07329259599999999
0.02,0.17,-0.07211792913,0.00046177287,0.072579702
0.02,0.18,-0.07137787202000001,0.0004889359799999999,0.071866808
0.02,0.19,-0.07063781491,0.00051609909,0.071153914
0.02,0.2,-0.0698977578,0.0005432622,0.07044102000000001
0.02,0.21,-0.06915770069000002,0.0005704253099999999,0.06972812600000002
0.02,0.22,-0.06841764357999999,0.00059758842,0.069015232
0.02,0.23,-0.06767758647000001,0.0006247515299999998,0.068302338
0.02,0.24,-0.06693752936,0.0006519146399999999,0.067589444
0.02,0.25,-0.06619747225,0.00067907775,0.06687655
0.02,0.26,-0.06545741514,0.0007062408599999999,0.066163656
0.02,0.27,-0.06471735802999999,0.00073340397,0.065450762
0.02,0.28,-0.06397730092,0.00076056708,0.06473786799999999
0.02,0.29,-0.06323724381,0.0007877301899999998,0.064024974
0.02,0.3,-0.06249718669999999,0.0008148932999999998,0.06331207999999999
0.02,0.31,-0.06175712959,0.00084205641,0.062599186
0.02,0.32,-0.06101707247999999,0.0008692195199999999,0.06188629199999999
0.02,0.33,-0.06027701537,0.00089638263,0.061173398
0.02,0.34,-0.059536958259999995,0.00092354574,0.06046050399999999
0.02,0.35000000000000003,-0.05879690114999999,0.0009507088499999999,0.05974760999999999
0.02,0.36,-0.05805684404,0.0009778719599999998,0.059034716
0.02,0.37,-0.057316786929999995,0.0010050350699999998,0.058321821999999995
0.02,0.38,-0.056576729820000005,0.00103219818,0.057608928000000004
0.02,0.39,-0.05583667271,0.00105936129,0.056896034
0.02,0.4,-0.05509661560000001,0.0010865244,0.056183140000000006
0.02,0.41000000000000003,-0.054356558489999984,0.00111368751,0.05547024599999999
0.02,0.42,-0.05361650138,0.0011408506199999998,0.054757352
0.02,0.43,-0.05287644427000001,0.00116801373,0.05404445800000001
0.02,0.44,-0.05213638716,0.00119517684,0.053331564
0.02,0.45,-0.05139633005000001,0.00122233995,0.052618670000000006
0.02,0.46,-0.050656272940000004,0.0012495030599999997,0.051905776
0.02,0.47000000000000003,-0.04991621583,0.00127666617,0.051192882
0.02,0.48,-0.04917615872,0.0013038292799999998,0.050479988
0.02,0.49,-0.04843610161,0.0013309923899999998,0.049767094
0.02,0.5,-0.0476960445,0.0013581555,0.0490542
0.02,0.51,-0.04695598739,0.00138531861,0.048341306
0.02,0.52,-0.046215930280000005,0.0014124817199999999,0.047628412
0.02,0.53,-0.04547587316999999,0.0014396448299999998,0.046915517999999996
0.02,0.54,-0.044735816059999996,0.00146680794,0.046202624
0.02,0.55,-0.04399575895,0.00149397105,0.04548973
0.02,0.56,-0.04325570184,0.00152113416,0.044776836
0.02,0.5700000000000001,-0.042515644729999996,0.0015482972700000001,0.044063941999999995
0.02,0.58,-0.041775587620000006,0.0015754603799999997,0.043351048
0.02,0.59,-0.04103553051,0.0016026234899999998,0.042638154000000004
0.02,0.6,-0.040295473400000004,0.0016297865999999996,0.041925260000000006
0.02,0.61,-0.03955541629,0.0016569497099999998,0.041212366
0.02,0.62,-0.03881535918,0.00168411282,0.040499472
0.02,0.63,-0.038075302070000004,0.0017112759299999997,0.039786578
0.02,0.64,-0.03733524496,0.0017384390399999999,0.039073684
0.02,0.65,-0.03659518785,0.0017656021499999998,0.03836079
0.02,0.66,-0.03585513073999999,0.00179276526,0.03764789599999999
0.02,0.67,-0.03511507362999999,0.00181992837,0.036935001999999995
0.02,0.68,-0.034375016519999996,0.00184709148,0.036222107999999996
0.02,0.6900000000000001,-0.03363495941,0.0018742545900000001,0.035509214
0.02,0.7000000000000001,-0.032894902299999994,0.0019014176999999999,0.03479631999999999
0.02,0.71,-0.03215484519,0.0019285808099999996,0.034083426
0.02,0.72,-0.03141478808,0.0019557439199999996,0.033370532
0.02,0.73,-0.03067473097,0.0019829070299999998,0.032657638
0.02,0.74,-0.029934673859999997,0.0020100701399999995,0.031944744
0.02,0.75,-0.02919461675,0.0020372332499999997,0.03123185
0.02,0.76,-0.02845455964,0.00206439636,0.030518956
0.02,0.77,-0.027714502529999997,0.0020915594699999996,0.029806061999999998
0.02,0.78,-0.026974445420000003,0.00211872258,0.029093168000000003
0.02,0.79,-0.026234388310000002,0.0021458856900000004,0.028380274000000004
0.02,0.8,-0.025494331199999998,0.0021730488,0.02766738
0.02,0.81,-0.02475427409,0.00220021191,0.026954486
0.02,0.8200000000000001,-0.024014216979999996,0.00222737502,0.026241591999999994
0.02,0.8300000000000001,-0.02327415986999999,0.00225453813,0.025528697999999992
0.02,0.84,-0.022534102760000004,0.0022817012399999996,0.024815804000000004
0.02,0.85,-0.021794045650000003,0.00230886435,0.02410291
0.02,0.86,-0.02105398854,0.00233602746,0.023390016
0.02,0.87,-0.02031393143,0.00236319057,0.022677122
0.02,0.88,-0.019573874320000004,0.00239035368,0.021964228000000002
0.02,0.89,-0.01883381721,0.00241751679,0.021251334
0.02,0.9,-0.018093760099999998,0.0024446799,0.020538439999999998
0.02,0.91,-0.01735370299,0.00247184301,0.019825546
0.02,0.92,-0.01661364588,0.0024990061199999993,0.019112651999999997
0.02,0.93,-0.015873588769999995,0.00252616923,0.018399757999999995
0.02,0.9400000000000001,-0.015133531659999996,0.00255333234,0.017686863999999997
0.02,0.9500000000000001,-0.014393474549999995,0.00258049545,0.016973969999999994
0.02,0.96,-0.013653417440000003,0.0026076585599999996,0.016261076000000003
