scenario,step,record_similarity,identity_path,record_quality,agency,presence,coherence,reciprocity,pointer_stability,debt,drag,free_resource,load,host_fitness,observer_S,boundary_effect,boundary_opportunity,coercion_penalty,B_addr,B_cap,B_act,B_align,B_path,B_scalar,active_spirit_channel
record_only_death,99,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,100,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,101,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,102,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,103,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,104,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,105,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,106,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,107,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,108,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,109,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,110,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
record_only_death,111,0.92,0.9,0.9,0.94,0.005,0.62,0.58,0.78,0.52,0.04,0.01,0.85,0.02,0.03,0.0,1.0,0.0,0.7452000000000001,2.847766322180271e-06,0.0,0.5,0.0,0.0,False
