scenario,step,x,record_similarity,identity_path,record_quality,agency,P_body,coherence,drag,free_resource,boundary_effect,boundary_opportunity,gamma_spirit,locality_cert,law_cert,noncoerce_cert,agency_compat,forced_order,observer_S,description_phase,B_addr,Lambda_path,Gamma_spirit,Xi_law,Pi_noncoerce,A_compat,gate_spirit,P_spirit_raw,P_spirit,B_body_cap,B_spirit_cap,B_cap_total,B_act_body,B_act_spirit,B_act_total,B_path,active_spirit_participation
frozen_record,26,0.1087866108786611,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,27,0.11297071129707113,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,28,0.11715481171548117,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,29,0.12133891213389121,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,30,0.12552301255230125,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,31,0.1297071129707113,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,32,0.13389121338912133,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,33,0.13807531380753138,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,34,0.14225941422594143,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,35,0.14644351464435146,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,36,0.1506276150627615,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
